timestamp,actual,prediction,model
2023-01-06,3895.080078125,3843.9706630740075,Baseline
2023-01-13,3999.090087890625,3899.6397819917793,Baseline
2023-01-20,3972.610107421875,4003.822748811141,Baseline
2023-01-27,4070.56005859375,3977.288579728868,Baseline
2023-02-03,4136.47998046875,4075.400179910908,Baseline
2023-02-10,4090.4599609375,4141.425776181337,Baseline
2023-02-17,4079.090087890625,4095.317732789562,Baseline
2023-02-24,3970.0400390625,4083.919881044585,Baseline
2023-03-03,4045.639892578125,3974.6738256037543,Baseline
2023-03-10,3861.590087890625,4050.3956139423594,Baseline
2023-03-17,3916.639892578125,3866.021957580671,Baseline
2023-03-24,3970.989990234375,3921.1584368143995,Baseline
2023-03-31,4109.31005859375,3975.593716613248,Baseline
2023-04-07,4105.02001953125,4114.141969856549,Baseline
2023-04-14,4137.64013671875,4109.836390844602,Baseline
2023-04-21,4133.52001953125,4142.5037933142,Baseline
2023-04-28,4169.47998046875,4138.368423539633,Baseline
2023-05-05,4136.25,4174.381115929555,Baseline
2023-05-12,4124.080078125,4141.086615806102,Baseline
2023-05-19,4191.97998046875,4128.887966671506,Baseline
2023-05-26,4205.4501953125,4196.8942636422325,Baseline
2023-06-02,4282.3701171875,4210.3788824113535,Baseline
2023-06-09,4298.85986328125,4287.419797958246,Baseline
2023-06-16,4409.58984375,4303.9287387924705,Baseline
2023-06-23,4348.330078125,4414.835706036694,Baseline
2023-06-30,4450.3798828125,4353.464726987092,Baseline
2023-07-07,4398.9501953125,4455.676326592498,Baseline
2023-07-14,4505.419921875,4404.152095540365,Baseline
2023-07-21,4536.33984375,4510.790320981957,Baseline
2023-07-28,4582.22998046875,4541.752683924678,Baseline
2023-08-04,4478.02978515625,4587.709947171694,Baseline
2023-08-11,4464.0498046875,4483.328162186983,Baseline
2023-08-18,4369.7099609375,4469.3163166645145,Baseline
2023-08-25,4405.7099609375,4374.812105990873,Baseline
2023-09-01,4515.77001953125,4410.863008552564,Baseline
2023-09-08,4457.490234375,4521.095611572266,Baseline
2023-09-15,4450.31982421875,4462.711384088927,Baseline
2023-09-22,4320.06005859375,4455.520659900102,Baseline
2023-09-29,4288.0498046875,4325.039191163308,Baseline
2023-10-06,4308.5,4292.968497083078,Baseline
2023-10-13,4327.77978515625,4313.444029268199,Baseline
2023-10-20,4224.16015625,4332.747162561075,Baseline
2023-10-27,4117.3701171875,4228.950969416921,Baseline
2023-11-03,4358.33984375,4121.979792607295,Baseline
2023-11-10,4415.240234375,4363.332598669216,Baseline
2023-11-17,4514.02001953125,4420.316982232252,Baseline
2023-11-24,4559.33984375,4519.248145477837,Baseline
2023-12-01,4594.6298828125,4564.632633726059,Baseline
2023-12-08,4604.3701171875,4599.9709775374895,Baseline
2023-12-15,4719.18994140625,4609.718284484275,Baseline
2023-12-22,4754.6298828125,4724.713825648325,Baseline
2023-12-29,4769.830078125,4760.201709453876,Baseline
2024-01-05,4697.240234375,4775.41731015625,Baseline
2024-01-12,4783.830078125,4702.7025828986125,Baseline
2024-01-19,4839.81005859375,4789.421816593152,Baseline
2024-01-26,4890.97021484375,4845.482033116043,Baseline
2024-02-02,4958.60986328125,4896.714507619982,Baseline
2024-02-09,5026.60986328125,4964.45240265377,Baseline
2024-02-16,5005.56982421875,5032.550908930517,Baseline
2024-02-23,5088.7998046875,5011.468178278284,Baseline
2024-03-01,5137.080078125,5094.820325613398,Baseline
2024-03-08,5123.68994140625,5143.167254811958,Baseline
2024-03-15,5117.08984375,5129.74644515871,Baseline
2024-03-22,5234.18017578125,5123.12644718578,Baseline
2024-03-29,5254.35009765625,5240.391117880446,Baseline
2024-04-05,5204.33984375,5260.582919034091,Baseline
2024-04-12,5123.41015625,5210.484647795628,Baseline
2024-04-19,4967.22998046875,5129.418906402588,Baseline
2024-04-26,5099.9599609375,4972.985705775887,Baseline
2024-05-03,5127.7900390625,5105.913465458285,Baseline
2024-05-10,5222.68017578125,5133.777566248299,Baseline
2024-05-17,5303.27001953125,5228.805750497379,Baseline
2024-05-24,5304.72021484375,5309.511042726502,Baseline
2024-05-31,5277.509765625,5310.953821896768,Baseline
2024-06-07,5346.990234375,5283.691681710056,Baseline
2024-06-14,5431.60009765625,5353.269833411699,Baseline
2024-06-21,5464.6201171875,5438.000390474528,Baseline
2024-06-28,5460.47998046875,5471.0613634314905,Baseline
2024-07-05,5567.18994140625,5466.904972668251,Baseline
2024-07-12,5615.35009765625,5573.7687449074965,Baseline
2024-07-19,5505.0,5621.9925785736505,Baseline
2024-07-26,5459.10009765625,5511.463593182579,Baseline
2024-08-02,5346.56005859375,5465.48374657085,Baseline
2024-08-09,5344.16015625,5352.762421398628,Baseline
2024-08-16,5554.25,5350.349425805032,Baseline
2024-08-23,5634.60986328125,5560.749148847122,Baseline
2024-08-30,5648.39990234375,5641.221092119926,Baseline
2024-09-06,5408.419921875,5655.022008167613,Baseline
2024-09-13,5626.02001953125,5414.668953438209,Baseline
2024-09-20,5702.5498046875,5632.588312523602,Baseline
2024-09-27,5738.169921875,5709.223620292468,Baseline
2024-10-04,5751.06982421875,5744.887331307653,Baseline
2024-10-11,5815.02978515625,5757.7965306332235,Baseline
2024-10-18,5864.669921875,5821.842427388326,Baseline
2024-10-25,5808.1201171875,5871.546773244238,Baseline
2024-11-01,5728.7998046875,5814.90201847282,Baseline
2024-11-08,5995.5400390625,5735.453003112154,Baseline
2024-11-15,5870.6201171875,6002.5814270930505,Baseline
2024-11-22,5969.33984375,5877.464841566924,Baseline
2024-11-29,6032.3798828125,5976.321286882673,Baseline
