timestamp,actual,prediction,model
2023-01-06,3895.080078125,3963.5180154166987,RF
2023-01-13,3999.090087890625,3955.067060992714,RF
2023-01-20,3972.610107421875,3991.8712479556652,RF
2023-01-27,4070.56005859375,3963.0369595543575,RF
2023-02-03,4136.47998046875,4035.200277967578,RF
2023-02-10,4090.4599609375,4095.9300409041434,RF
2023-02-17,4079.090087890625,4061.308923417334,RF
2023-02-24,3970.0400390625,4006.674088034176,RF
2023-03-03,4045.639892578125,3915.252152895619,RF
2023-03-10,3861.590087890625,4039.1059801946744,RF
2023-03-17,3916.639892578125,4003.463196023219,RF
2023-03-24,3970.989990234375,4041.649422106875,RF
2023-03-31,4109.31005859375,4008.930656894963,RF
2023-04-07,4105.02001953125,4089.639603775034,RF
2023-04-14,4137.64013671875,4085.15224279482,RF
2023-04-21,4133.52001953125,4096.2040072555055,RF
2023-04-28,4169.47998046875,4105.190730726836,RF
2023-05-05,4136.25,4028.0325955309463,RF
2023-05-12,4124.080078125,4047.4063573913536,RF
2023-05-19,4191.97998046875,4098.047471477703,RF
2023-05-26,4205.4501953125,4144.231587898854,RF
2023-06-02,4282.3701171875,4173.30433724179,RF
2023-06-09,4298.85986328125,4256.477335870215,RF
2023-06-16,4409.58984375,4298.348797045988,RF
2023-06-23,4348.330078125,4388.55070359142,RF
2023-06-30,4450.3798828125,4442.996354443274,RF
2023-07-07,4398.9501953125,4476.074928110471,RF
2023-07-14,4505.419921875,4493.840845637144,RF
2023-07-21,4536.33984375,4541.291304752725,RF
2023-07-28,4582.22998046875,4566.938140184103,RF
2023-08-04,4478.02978515625,4617.632976259239,RF
2023-08-11,4464.0498046875,4639.070882379565,RF
2023-08-18,4369.7099609375,4630.047092681702,RF
2023-08-25,4405.7099609375,4643.057424201106,RF
2023-09-01,4515.77001953125,4631.23284534319,RF
2023-09-08,4457.490234375,4635.948449343328,RF
2023-09-15,4450.31982421875,4648.090772150366,RF
2023-09-22,4320.06005859375,4638.3950303772035,RF
2023-09-29,4288.0498046875,4596.036633839496,RF
2023-10-06,4308.5,4533.997957529603,RF
2023-10-13,4327.77978515625,4480.008443049518,RF
2023-10-20,4224.16015625,4515.853796426039,RF
2023-10-27,4117.3701171875,4397.611019504217,RF
2023-11-03,4358.33984375,4290.656478542528,RF
2023-11-10,4415.240234375,4375.263440591727,RF
2023-11-17,4514.02001953125,4407.191236865244,RF
2023-11-24,4559.33984375,4472.493619165838,RF
2023-12-01,4594.6298828125,4532.096469555249,RF
2023-12-08,4604.3701171875,4570.740784794108,RF
2023-12-15,4719.18994140625,4604.770531778847,RF
2023-12-22,4754.6298828125,4656.291962048025,RF
2023-12-29,4769.830078125,4691.500818000711,RF
2024-01-05,4697.240234375,4711.310919097709,RF
2024-01-12,4783.830078125,4801.377755067264,RF
2024-01-19,4839.81005859375,4838.197358444714,RF
2024-01-26,4890.97021484375,4835.669695304672,RF
2024-02-02,4958.60986328125,4833.310981065698,RF
2024-02-09,5026.60986328125,4945.428942272906,RF
2024-02-16,5005.56982421875,5020.286986211553,RF
2024-02-23,5088.7998046875,5091.134693979732,RF
2024-03-01,5137.080078125,5156.408289291585,RF
2024-03-08,5123.68994140625,5213.370670516148,RF
2024-03-15,5117.08984375,5236.290393826059,RF
2024-03-22,5234.18017578125,5243.055475766047,RF
2024-03-29,5254.35009765625,5257.240717416513,RF
2024-04-05,5204.33984375,5267.470488356334,RF
2024-04-12,5123.41015625,5269.940729793702,RF
2024-04-19,4967.22998046875,5285.087792718761,RF
2024-04-26,5099.9599609375,5289.308303375049,RF
2024-05-03,5127.7900390625,5289.6425747808025,RF
2024-05-10,5222.68017578125,5285.601421290805,RF
2024-05-17,5303.27001953125,5306.436687163211,RF
2024-05-24,5304.72021484375,5311.915560185951,RF
2024-05-31,5277.509765625,5302.630561381868,RF
2024-06-07,5346.990234375,5282.168385712007,RF
2024-06-14,5431.60009765625,5281.823827296906,RF
2024-06-21,5464.6201171875,5385.37661105362,RF
2024-06-28,5460.47998046875,5443.153692117674,RF
2024-07-05,5567.18994140625,5508.792233749678,RF
2024-07-12,5615.35009765625,5545.511282174718,RF
2024-07-19,5505.0,5586.298532607771,RF
2024-07-26,5459.10009765625,5611.161111881939,RF
2024-08-02,5346.56005859375,5634.222528311993,RF
2024-08-09,5344.16015625,5584.60102661032,RF
2024-08-16,5554.25,5550.036565222285,RF
2024-08-23,5634.60986328125,5589.020154376379,RF
2024-08-30,5648.39990234375,5623.334216759714,RF
2024-09-06,5408.419921875,5635.675320230957,RF
2024-09-13,5626.02001953125,5625.827214821383,RF
2024-09-20,5702.5498046875,5629.281946740617,RF
2024-09-27,5738.169921875,5634.918345233815,RF
2024-10-04,5751.06982421875,5674.217196821623,RF
2024-10-11,5815.02978515625,5753.0319987570365,RF
2024-10-18,5864.669921875,5866.961165896027,RF
2024-10-25,5808.1201171875,5888.617458062277,RF
2024-11-01,5728.7998046875,5814.200352623445,RF
2024-11-08,5995.5400390625,5801.619072299063,RF
2024-11-15,5870.6201171875,5873.276687480095,RF
2024-11-22,5969.33984375,5900.770380888002,RF
2024-11-29,6032.3798828125,5948.636464226271,RF
2024-12-06,6090.27001953125,5929.133752391359,RF
2024-12-13,6051.08984375,5941.358046984247,RF
2024-12-20,5930.85009765625,5936.606500489272,RF
2024-12-27,5970.83984375,5942.90955245839,RF
2025-01-03,5906.93994140625,5966.394016508103,RF
