timestamp,actual,prediction,model
2023-01-06,3895.080078125,3952.9932375315075,LSTM
2023-01-13,3999.090087890625,4024.4044815659113,LSTM
2023-01-20,3972.610107421875,3890.091388420344,LSTM
2023-01-27,4070.56005859375,3919.974874014423,LSTM
2023-02-03,4136.47998046875,3930.0546703379237,LSTM
2023-02-10,4090.4599609375,3975.641012139182,LSTM
2023-02-17,4079.090087890625,3983.623512387445,LSTM
2023-02-24,3970.0400390625,4119.248205602636,LSTM
2023-03-03,4045.639892578125,4037.720609119841,LSTM
2023-03-10,3861.590087890625,4114.450984620486,LSTM
2023-03-17,3916.639892578125,3966.5242547414578,LSTM
2023-03-24,3970.989990234375,4053.3564578529226,LSTM
2023-03-31,4109.31005859375,3991.973536455429,LSTM
2023-04-07,4105.02001953125,4003.1489065804685,LSTM
2023-04-14,4137.64013671875,4042.8340149656733,LSTM
2023-04-21,4133.52001953125,4018.9016823193147,LSTM
2023-04-28,4169.47998046875,4095.4092067949377,LSTM
2023-05-05,4136.25,4120.010418984654,LSTM
2023-05-12,4124.080078125,4069.6311579484895,LSTM
2023-05-19,4191.97998046875,4166.699306828242,LSTM
2023-05-26,4205.4501953125,4110.498517329464,LSTM
2023-06-02,4282.3701171875,4189.784314757191,LSTM
2023-06-09,4298.85986328125,4154.284345476359,LSTM
2023-06-16,4409.58984375,4288.942565002007,LSTM
2023-06-23,4348.330078125,4310.653124913663,LSTM
2023-06-30,4450.3798828125,4268.473412084321,LSTM
2023-07-07,4398.9501953125,4333.785003734245,LSTM
2023-07-14,4505.419921875,4341.774360123705,LSTM
2023-07-21,4536.33984375,4393.519496187824,LSTM
2023-07-28,4582.22998046875,4510.166787497665,LSTM
2023-08-04,4478.02978515625,4512.198385640093,LSTM
2023-08-11,4464.0498046875,4614.924320178976,LSTM
2023-08-18,4369.7099609375,4530.94424927576,LSTM
2023-08-25,4405.7099609375,4361.954760097107,LSTM
2023-09-01,4515.77001953125,4390.555928298604,LSTM
2023-09-08,4457.490234375,4430.344393640316,LSTM
2023-09-15,4450.31982421875,4392.514473499906,LSTM
2023-09-22,4320.06005859375,4489.540205220546,LSTM
2023-09-29,4288.0498046875,4356.547736731342,LSTM
2023-10-06,4308.5,4384.358597932925,LSTM
2023-10-13,4327.77978515625,4327.693370305958,LSTM
2023-10-20,4224.16015625,4275.479639255459,LSTM
2023-10-27,4117.3701171875,4260.67413519307,LSTM
2023-11-03,4358.33984375,4201.87384103203,LSTM
2023-11-10,4415.240234375,4173.896515300926,LSTM
2023-11-17,4514.02001953125,4283.908690825674,LSTM
2023-11-24,4559.33984375,4232.525759326609,LSTM
2023-12-01,4594.6298828125,4410.935575763092,LSTM
2023-12-08,4604.3701171875,4378.735914915621,LSTM
2023-12-15,4719.18994140625,4465.929899070708,LSTM
2023-12-22,4754.6298828125,4477.532889530276,LSTM
2023-12-29,4769.830078125,4501.460742769632,LSTM
2024-01-05,4697.240234375,4588.386952173499,LSTM
2024-01-12,4783.830078125,4727.765188495854,LSTM
2024-01-19,4839.81005859375,4587.371757670652,LSTM
2024-01-26,4890.97021484375,4681.050164120187,LSTM
2024-02-02,4958.60986328125,4830.827548367054,LSTM
2024-02-09,5026.60986328125,4812.706315247523,LSTM
2024-02-16,5005.56982421875,4886.5338700053135,LSTM
2024-02-23,5088.7998046875,4866.733629962728,LSTM
2024-03-01,5137.080078125,4991.804039684887,LSTM
2024-03-08,5123.68994140625,5038.9826177499535,LSTM
2024-03-15,5117.08984375,4968.538571282488,LSTM
2024-03-22,5234.18017578125,5025.948496134724,LSTM
2024-03-29,5254.35009765625,5153.887861329934,LSTM
2024-04-05,5204.33984375,5061.812110816926,LSTM
2024-04-12,5123.41015625,5142.20439389434,LSTM
2024-04-19,4967.22998046875,5120.936685145982,LSTM
2024-04-26,5099.9599609375,5134.961085540151,LSTM
2024-05-03,5127.7900390625,5262.7709235478505,LSTM
2024-05-10,5222.68017578125,5063.069164457929,LSTM
2024-05-17,5303.27001953125,5004.961327037612,LSTM
2024-05-24,5304.72021484375,5081.366399466915,LSTM
2024-05-31,5277.509765625,5129.241362669686,LSTM
2024-06-07,5346.990234375,5184.749861741118,LSTM
2024-06-14,5431.60009765625,5167.16440341736,LSTM
2024-06-21,5464.6201171875,5298.6286453639705,LSTM
2024-06-28,5460.47998046875,5370.9330225205,LSTM
2024-07-05,5567.18994140625,5345.665464778026,LSTM
2024-07-12,5615.35009765625,5428.719674420131,LSTM
2024-07-19,5505.0,5488.0881251080655,LSTM
2024-07-26,5459.10009765625,5430.582056257641,LSTM
2024-08-02,5346.56005859375,5554.197489435353,LSTM
2024-08-09,5344.16015625,5397.897248761998,LSTM
2024-08-16,5554.25,5486.553604642754,LSTM
2024-08-23,5634.60986328125,5448.344970936792,LSTM
2024-08-30,5648.39990234375,5532.691397470242,LSTM
2024-09-06,5408.419921875,5494.271192575685,LSTM
2024-09-13,5626.02001953125,5568.515761798081,LSTM
2024-09-20,5702.5498046875,5518.5301246647705,LSTM
2024-09-27,5738.169921875,5574.647775573699,LSTM
2024-10-04,5751.06982421875,5542.844636528124,LSTM
2024-10-11,5815.02978515625,5566.141264904565,LSTM
2024-10-18,5864.669921875,5620.134892980282,LSTM
2024-10-25,5808.1201171875,5808.671621126085,LSTM
2024-11-01,5728.7998046875,5645.740358144534,LSTM
2024-11-08,5995.5400390625,5733.63591959616,LSTM
2024-11-15,5870.6201171875,5770.389913586426,LSTM
2024-11-22,5969.33984375,5946.4324361371955,LSTM
2024-11-29,6032.3798828125,5918.103726891852,LSTM
